Loan_ID,Member_ID,Loan_Amnt,Funded_Amnt,Funded_Amnt_Inv,Term_Months,Int_rate,Installment,Customer_Grade,Customer_Sub_Grade,Emp_Length,Home_Ownership,Annual_income,Verification_Status,Issue_Date,Loan_Status,Good_vs_Bad_Loan,Purpose,State,Debt_to_Income_Ratio
54734,80364,25000,25000,19080.0572,36,11.89,829.1,B,B4,< 1 year,RENT,85000,Verified,2009-08-01,Fully Paid,Good Loan,debt_consolidation,CA,19.48
55742,114426,7000,7000,672.8038387,36,10.71,228.22,B,B5,< 1 year,RENT,65000,Not Verified,2008-05-01,Fully Paid,Good Loan,credit_card,NY,14.29
57245,138150,1200,1200,1200,36,13.11,40.5,C,C2,10+ years,OWN,54000,Not Verified,2010-03-01,Fully Paid,Good Loan,debt_consolidation,TX,5.47
57416,139635,10800,10800,10691.55105,36,13.57,366.86,C,C3,6 years,RENT,32000,Not Verified,2009-11-01,Fully Paid,Good Loan,debt_consolidation,CT,11.63
58915,153417,7500,5025,557.087228,36,10.08,162.34,B,B3,3 years,RENT,85000,Not Verified,2008-04-01,Fully Paid,Good Loan,debt_consolidation,CA,8.1
59006,154254,3000,3000,2988.236621,36,14.26,102.92,C,C5,3 years,MORTGAGE,80800,Not Verified,2009-09-01,Fully Paid,Good Loan,credit_card,TX,14.97
61390,182594,4000,4000,3900,36,7.88,125.13,A,A5,< 1 year,MORTGAGE,148000,Not Verified,2010-02-01,Fully Paid,Good Loan,credit_card,TX,16.98
61419,182917,5600,5600,5525,36,14.96,194.02,D,D2,1 year,RENT,45000,Not Verified,2010-02-01,Charged Off,Bad Loan,debt_consolidation,MD,4
62102,191024,3200,3200,3200,36,9.88,103.08,B,B1,5 years,RENT,54000,Not Verified,2010-04-01,Fully Paid,Good Loan,debt_consolidation,MA,6.51
65426,232106,4000,4000,3892.258856,36,11.14,131.22,B,B1,< 1 year,MORTGAGE,60000,Not Verified,2009-08-01,Charged Off,Bad Loan,car,MI,11.08
65640,234569,5000,2650,495.49,36,11.34,87.19,C,C2,10+ years,MORTGAGE,90000,Not Verified,2008-05-01,Fully Paid,Good Loan,home_improvement,CA,17.25
66431,243540,2525,2525,2375,36,12.21,84.12,B,B5,3 years,RENT,27000,Not Verified,2009-02-01,Fully Paid,Good Loan,debt_consolidation,KY,10
66749,246329,10625,10625,5325.17519,36,13.47,360.43,C,C4,10+ years,MORTGAGE,34000,Not Verified,2008-12-01,Fully Paid,Good Loan,debt_consolidation,MS,22.09
66943,247802,2800,2800,2700,60,11.49,61.57,B,B4,< 1 year,RENT,24000,Not Verified,2010-08-01,Fully Paid,Good Loan,debt_consolidation,CA,4
66964,247990,7500,7500,985.5293177,36,13.24,253.58,D,D3,3 years,MORTGAGE,138000,Not Verified,2008-06-01,Fully Paid,Good Loan,debt_consolidation,KS,9.16
67503,252415,10000,10000,10000,36,8.59,316.11,A,A4,1 year,MORTGAGE,56000,Not Verified,2009-10-01,Fully Paid,Good Loan,debt_consolidation,MI,15.49
68163,258249,3000,3000,3000,36,7.14,92.82,A,A3,9 years,MORTGAGE,100000,Not Verified,2010-02-01,Fully Paid,Good Loan,small_business,GA,6.5
68381,260179,6625,6625,6475,36,8.63,209.54,A,A5,< 1 year,RENT,13200,Not Verified,2008-03-01,Fully Paid,Good Loan,debt_consolidation,CA,9.73
68817,264119,10000,10000,2475,36,11.03,327.53,C,C1,10+ years,MORTGAGE,46116,Not Verified,2008-03-01,Fully Paid,Good Loan,major_purchase,NC,13.04
68926,264924,2300,2300,589.6056582,36,13.17,77.69,D,D2,10+ years,RENT,37152,Verified,2008-08-01,Fully Paid,Good Loan,moving,NJ,2.26
69001,265533,15000,15000,14875,36,8.94,476.58,A,A5,< 1 year,MORTGAGE,110000,Not Verified,2009-09-01,Fully Paid,Good Loan,credit_card,NY,7.07
69124,266619,18000,18000,11636,36,10.39,584.12,B,B4,10+ years,MORTGAGE,36000,Not Verified,2008-03-01,Fully Paid,Good Loan,debt_consolidation,WA,3.8
69168,266943,5000,5000,4975,36,15.13,173.65,E,E4,2 years,RENT,60000,Verified,2008-04-01,Fully Paid,Good Loan,major_purchase,KY,2.74
