Loan_ID,Delinquencies_2yrs,Earliest_credit_line,Inquiries_last_6mths,Months_Since_Last_Delinquency,Months_Since_Last_Record,Open_Account,Public_Records,Revolving_Balance,Revolving_Utilization,Total_Accounts,Total_Payment,Total_Payment_Inv,Total_Received_Principal,Total_Received_Interest,Total_Received_Late_Fee,Recoveries,Collection_Recovery_Fee,Last_Payment_Date,Payment_Status,Last_Payment_Amnt,Last_Credit_Pull_Date
54734,0,1994-02-01,0,0,0,10,0,28854,0.52,42,29330.3567,21817.65,25000,4330.36,0,0,0,2011-10-01,Completed,7392.08,2012-08-01
55742,0,2000-10-01,0,0,0,7,0,33623,0.77,7,8215.53706,684.94,7000,1215.54,0,0,0,2011-06-01,Completed,228.48,2012-08-01
57245,0,1985-01-01,0,64,0,5,0,2584,0.4,31,1457.819531,1457.82,1200,257.82,0,0,0,2013-03-01,Completed,42.73,2016-05-01
57416,0,1996-12-01,1,58,0,14,0,3511,0.26,40,13207.7633,13073.71,10800,2407.76,0,0,0,2012-11-01,Completed,398,2016-05-01
58915,0,2000-11-01,1,0,0,3,0,33667,0.73,11,5843.875367,571.3,5024.99,818.88,0,0,0,2011-04-01,Completed,162.63,2014-03-01
59006,1,1998-07-01,0,13,0,13,0,4740,0.4,23,3704.99765,3688.85,3000,705,0,0,0,2012-10-01,Completed,111.23,2012-09-01
61390,0,1993-05-01,0,0,0,11,0,50807,0.51,19,4451.606058,4340.32,4000,451.61,0,0,0,2012-03-01,Completed,1454.31,2012-03-01
61419,0,2001-06-01,0,38,63,5,1,3839,0.77,9,6474.6,6387.92,5220.69,1211.07,0,42.84,1.06,2012-10-01,Completed,194.02,2013-03-01
62102,0,2006-06-01,0,0,0,7,0,3198,0.51,11,3413.98528,3413.99,3200,213.99,0,0,0,2011-02-01,Completed,2592.23,2013-03-01
65426,0,1995-08-01,0,0,0,14,0,24220,0.69,33,2755.2,2615.8,2170.35,584.85,0,0,0,2011-06-01,Completed,131.22,2016-05-01
65640,0,1997-05-01,1,0,0,20,0,69909,0.51,51,3153.804764,512.18,2649.99,488.82,15,0,0,2011-05-01,Completed,87.83,2015-04-01
66431,0,2001-09-01,1,0,0,5,0,5630,0.23,8,3028.319048,2848.42,2525,503.32,0,0,0,2012-03-01,Completed,89.75,2012-03-01
66749,0,1990-07-01,2,57,85,5,1,13846,0.71,16,12975.35746,6107.41,10625,2350.36,0,0,0,2012-01-01,Completed,370.44,2011-12-01
66943,0,2000-12-01,0,0,97,7,1,2183,0.2,23,3143.861603,3031.58,2800,343.86,0,0,0,2011-10-01,Completed,2348.97,2014-07-01
66964,1,1996-08-01,2,10,0,11,0,5122,0.18,37,9128.550873,1012.95,7500,1628.55,0,0,0,2011-06-01,Completed,253.87,2011-06-01
67503,0,1991-12-01,0,0,0,7,0,6068,0.17,49,11280.38272,11280.38,10000,1280.38,0,0,0,2012-02-01,Completed,3064.45,2014-02-01
68163,1,1998-02-01,0,16,0,14,0,3021,0.05,25,3341.641503,3341.64,3000,341.64,0,0,0,2013-02-01,Completed,97.75,2013-02-01
68381,0,2003-12-01,0,0,0,3,0,6282,0.45,9,7541.803814,7371.04,6625,916.8,0,0,0,2011-03-01,Completed,424.12,2015-03-01
68817,0,1985-11-01,1,45,0,7,0,5394,0.53,23,11709.14052,2898.01,10000,1709.14,0,0,0,2010-09-01,Completed,23.15,2010-09-01
68926,0,1997-12-01,0,46,0,4,0,2211,0.88,13,2796.601136,643.5,2300,496.6,0,0,0,2011-09-01,Completed,77.78,2016-05-01
69001,0,1991-11-01,1,0,0,6,0,7586,0.53,19,17135.51023,16992.71,15000,2135.51,0,0,0,2012-07-01,Completed,1919.13,2015-08-01
69124,0,2000-08-01,0,0,0,2,0,8311,0.6,9,21027.94463,13395.7,18000,3027.95,0,0,0,2011-04-01,Completed,598.22,2016-05-01
69168,0,2005-02-01,3,0,0,2,0,591,0.84,6,6251.187621,6219.93,5000,1251.19,0,0,0,2011-04-01,Completed,184.81,2016-05-01
69251,0,1994-12-01,1,0,0,16,0,29797,0.23,39,6783.750468,565.31,5999.99,768.76,15,0,0,2011-05-01,Completed,189.36,2011-05-01
69550,0,2005-10-01,1,0,0,7,0,7248,0.69,11,15923.97483,15899.19,11200,4723.97,0,0,0,2014-08-01,Completed,2816.71,2016-05-01
69828,0,1975-06-01,0,0,0,4,0,5656,0.28,25,17208.17701,15033.5,15000,2113.3,94.88,0,0,2011-08-01,Completed,38.2,2011-08-01
69924,0,2002-11-01,0,0,0,11,0,21162,0.58,14,12225.41138,10738.03,10000,2225.41,0,0,0,2011-04-01,Completed,359.55,2016-02-01
69990,0,1994-09-01,1,0,0,8,0,16931,0.35,21,17438.40519,16200.84,15500,1938.41,0,0,0,2013-02-01,Completed,472.56,2013-02-01
70348,0,1997-11-01,0,68,63,5,1,4822,0.58,27,11340.97,10947.16,9600,1740.97,0,0,0,2010-05-01,Completed,3773.06,2016-05-01
76597,2,2003-04-01,0,5,0,5,0,14354,0.37,7,5725.016258,2032.38,5000,725.02,0,0,0,2010-07-01,Completed,160.61,2010-07-01
84918,0,1994-12-01,1,0,0,12,0,1576,0.06,21,5200.462983,2106.19,5000,200.46,0,0,0,2008-04-01,Completed,4268.52,2007-06-01
87023,1,2003-10-01,0,11,0,7,0,4175,0.52,8,9195.263334,980.83,7500,1695.26,0,0,0,2010-06-01,Completed,256.59,2010-06-01
88854,0,1995-03-01,0,0,0,2,0,3164,0.14,2,5174.194867,232.85,5000,174.19,0,0,0,2008-03-01,Completed,0,2007-05-01
90376,0,1988-11-01,0,0,0,17,0,85607,0.01,26,5174.198551,672.66,5000,174.2,0,0,0,2008-01-01,Completed,0,2007-06-01
90395,0,1998-10-01,0,0,0,11,0,9698,0.19,20,5272.161128,1397.12,5000,272.16,0,0,0,2008-04-01,Completed,0,2007-06-01
90665,1,1986-12-01,1,5,0,6,0,8847,0.27,9,9913.491822,1020.51,8500,1413.49,0,0,0,2010-07-01,Completed,281.94,2010-07-01
90966,0,1987-12-01,0,0,0,2,0,6053,0.2,19,5174.186842,4294.58,5000,174.19,0,0,0,2008-01-01,Completed,4397.47,2007-06-01
92187,0,1990-11-01,0,0,0,13,0,7274,0.13,40,2822.969293,1213.88,2500,322.97,0,0,0,2010-07-01,Completed,80.9,2010-06-01
92402,0,1994-05-01,0,0,0,10,0,66033,0.23,29,5698.603286,797.8,5000,698.6,0,0,0,2010-07-01,Completed,159.83,2014-11-01
92440,0,2000-07-01,0,0,0,8,0,3660,0.07,16,5593.631701,3468.05,5000,593.63,0,0,0,2010-07-01,Completed,157.38,2007-06-01
92507,0,1997-10-01,0,0,0,7,0,216,0.01,19,5593.626092,279.68,5000,593.63,0,0,0,2010-07-01,Completed,156.29,2007-06-01
92533,0,1996-07-01,3,0,44,15,1,27185,0.16,29,5912.052998,798.13,5000,912.05,0,0,0,2010-07-01,Completed,165.17,2007-06-01
92552,0,1995-08-01,1,0,0,6,0,28329,0.49,6,5804.732505,435.36,5000,804.73,0,0,0,2010-07-01,Completed,162.07,2010-06-01
92666,0,1995-02-01,1,0,0,16,0,60568,0.39,38,5751.530533,603.91,5000,751.53,0,0,0,2010-07-01,Completed,161.55,2007-06-01
92676,0,1996-06-01,0,0,0,12,0,40934,0.26,39,5645.957239,169.38,5000,645.96,0,0,0,2010-07-01,Completed,157.31,2007-06-01
93061,0,1997-10-01,0,0,0,8,0,8379,0.17,16,5593.631701,279.69,5000,593.63,0,0,0,2010-07-01,Completed,157.02,2010-06-01
93277,0,2000-09-01,1,0,0,10,0,3660,0.08,13,3419.14485,1082.73,3000,419.14,0,0,0,2010-07-01,Completed,97.45,2010-07-01
94838,1,1997-02-01,0,19,0,5,0,0,0,8,3498.858899,2974.03,3000,498.86,0,0,0,2010-07-01,Completed,98.49,2013-02-01
96350,0,1993-04-01,0,0,0,10,0,15840,0.47,12,5912.052998,1005.05,5000,912.05,0,0,0,2010-07-01,Completed,166.25,2012-10-01
96844,0,1992-02-01,0,0,0,15,0,6844,0.14,29,6012.561053,680.67,5300,712.56,0,0,0,2010-07-01,Completed,170.05,2010-07-01
98276,0,1989-03-01,0,0,0,4,0,1321,0.17,4,6069.341452,224.8,5400,669.34,0,0,0,2010-07-01,Completed,169.09,2013-12-01
98339,0,1995-06-01,0,0,0,11,0,4737,0.24,22,5779.031624,651.56,5100,679.03,0,0,0,2010-04-01,Completed,638.15,2007-06-01
98982,0,1999-01-01,0,0,0,21,0,23489,0.38,28,5725.016258,772.88,5000,725.02,0,0,0,2010-07-01,Completed,160.02,2010-07-01
99009,0,1987-01-01,0,0,0,10,0,2817,0.1,16,6421.743349,4104.33,5750,671.74,0,0,0,2010-05-01,Completed,4.74,2010-04-01
100214,0,1991-08-01,1,0,0,5,0,1783,0,11,5593.634135,4111.32,5000,593.63,0,0,0,2010-08-01,Completed,157.74,2007-06-01
101579,0,2003-09-01,0,0,0,4,0,3534,0.54,4,11662.89219,466.52,10000,1662.89,0,0,0,2010-07-01,Completed,328.93,2010-10-01
102376,0,2000-01-01,0,0,0,5,0,2422,0.23,12,29269.95527,614.67,25000,4269.96,0,0,0,2010-06-01,Completed,3.54,2010-06-01
106079,0,2002-12-01,1,0,0,10,0,2864,0.41,16,3942.013096,1351.55,3500,442.01,0,0,0,2009-03-01,Completed,1798.54,2016-05-01
106360,0,2003-08-01,1,0,0,12,0,3075,0.92,13,3415.389823,695.73,2700,715.39,0,0,0,2010-07-01,Completed,96.4,2010-07-01
